Dias ;Resultado
1;1
1;1
1;1
1;1
2;1
2;1
2;1
2;1
3;1
3;1
3;1
3;1
4;1
4;1
4;1
4;1
13;1
13;1
13;1
13;1
13;1
14;1
14;1
14;1
14;1
14;1
15;1
15;1
15;1
15;1
15;1
16;1
16;1
16;1
16;1
16;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
26;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;0
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
27;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
28;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
29;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
30;1
33;1
33;1
33;0
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
33;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
34;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
35;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
44;1
48;1
48;1
48;1
48;1
48;1
48;1
49;1
49;1
49;1
49;1
49;1
49;1
50;1
50;1
50;1
50;1
50;1
50;1
51;1
51;1
51;1
